constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
  4062       82.51     2.821050  0.744348  156.879738        56.34     91.60    100.00     82.09 
  4063       75.51     4.478183  0.764333  157.072501        56.34     88.11     75.50     82.10 
  4064       76.53     2.504627  0.722001  179.579995        56.34     92.18     75.50     82.09 
  4065       76.07     3.183739  0.710264  169.966143        56.34     90.36     75.50     82.09 
  4066       91.19     1.408508  0.830553  150.880947        90.65     92.04    100.00     82.07 
  4067       93.56     0.922613  0.888907  152.556491        94.44     91.45     99.99     88.35 
  4068       87.25     0.632243  0.862370  209.184675        93.29     87.75     75.51     92.47 
  4069       85.21     1.928665  0.931307  118.779473        90.85     92.40     75.49     82.10 
  4070       80.06     2.171899  0.793381  145.055260        69.59     93.05     75.49     82.10 
  4071       94.20     0.547402  0.977402  182.851535        93.74     90.95     99.99     92.14 
  4072       91.19     1.696184  0.963035  214.411064        93.77     88.91     99.99     82.09 
  4073       88.27     0.974156  0.984853  199.931827        93.77     91.38     75.50     92.44 
  4074       87.27     0.968335  0.973162  202.285133        93.27     88.04     75.51     92.28 
  4075       90.82     2.355146  0.938302  165.423631        88.47     92.84    100.00     81.96 
  4076       79.70     2.943209  0.900453  210.917136        70.52     90.65     75.51     82.10 
  4077       75.53     4.076663  0.909394  214.371454        56.34     88.18     75.51     82.09 
  4078       83.52     3.002150  0.862358  185.387500        59.68     92.33     99.98     82.07 
  4079       90.94     1.671806  0.864545  197.500106        89.60     92.25    100.00     81.90 
  4080       85.51     1.050589  0.790299  152.292391        92.74     91.67     75.51     82.10 
  4081       81.72     2.516228  0.893214  238.411725        79.14     90.15     75.50     82.10 
  4082       79.23     2.597531  0.843783  209.000500        68.82     90.51     75.49     82.10 
  4083       82.23     2.734830  0.803295  233.637265        56.68     90.29     99.99     81.96 
  4084       90.05     2.091548  0.912199  217.019447        88.57     89.56     99.99     82.09 
  4085       84.69     2.366792  0.978029  249.368145        91.51     89.64     75.50     82.10 
  4086       81.97     3.256056  0.844725  247.838699        56.34     89.42    100.00     82.10 
  4087       85.03     1.704106  0.959955  217.023129        93.70     88.98     75.49     81.96 
  4088       85.12     1.649195  0.883119  198.283887        90.70     92.18     75.50     82.11 
  4089       84.22     2.180856  0.940032  248.117469        89.71     89.56     75.51     82.11 
  4090       91.16     1.108822  0.913153  233.836779        94.09     88.33     99.99     82.23 
  4091       84.86     1.702849  0.943630  254.828162        92.87     88.98     75.50     82.09 
  4092       93.32     0.624615  0.869038  260.195482        93.24     87.75    100.00     92.31 
  4093       90.87     1.467532  0.894806  257.621411        92.67     88.84    100.00     81.97 
  4094       84.90     1.080321  0.823678  291.198255        93.56     88.47     75.50     82.07 
  4095       84.48     1.397698  0.842362  291.670988        91.47     88.84     75.51     82.09 
  4096       91.22     1.015685  0.851244  273.923949        94.45     88.33     99.99     82.10 
  4097       91.19     1.049967  0.875649  245.523679        94.32     88.33    100.00     82.10 
  4098       90.85     1.532634  0.897426  264.261945        92.50     88.91    100.00     81.97 
  4099       85.01     1.388475  0.915732  266.822140        93.75     88.69     75.50     82.10 
  4100       91.08     1.306716  0.888489  291.228875        93.61     88.62    100.00     82.09 
  4101       92.88     0.955108  0.909193  239.709562        93.76     88.11     99.99     89.65 
  4102       90.45     1.667058  0.881591  258.826519        90.58     89.13    100.00     82.08 
  4103       93.24     0.631969  0.946155  259.553318        93.21     87.67     99.98     92.11 
  4104       93.31     0.800932  0.964634  277.374226        92.98     87.89     99.99     92.40 
  4105       93.51     1.059258  0.971392  268.630140        93.44     88.18     99.99     92.44 
  4106       91.15     1.626561  0.946356  293.498891        93.64     88.91     99.99     82.07 
  4107       91.22     1.233126  0.908891  291.741480        94.45     88.47    100.00     81.97 
  4108       93.08     0.817449  0.884448  275.759822        93.63     87.96    100.00     90.75 
  4109       92.87     0.767615  0.862958  254.316540        93.64     87.96     99.98     89.89 
  4110       92.59     0.812117  0.861667  264.250746        93.76     88.04    100.00     88.56 
  4111       86.73     0.873339  0.890098  240.483228        93.72     88.04     75.49     89.65 
  4112       91.07     1.085805  0.847942  278.021873        93.81     88.40     99.99     82.09 
  4113       87.09     0.526425  0.884042  253.641054        92.87     87.60     75.49     92.40 
  4114       91.91     0.913845  0.876032  279.975060        93.94     88.11     99.99     85.59 
  4115       84.95     1.268093  0.876530  269.602525        93.57     88.62     75.51     82.10 
  4116       93.28     0.556143  0.848241  285.840813        93.08     87.67    100.00     92.36 
  4117       93.33     0.710104  0.871238  279.693180        93.44     87.89    100.00     92.01 
  4118       91.10     0.989020  0.882015  276.095961        94.08     88.25     99.98     82.08 
  4119       93.39     0.668389  0.877446  265.442222        93.31     87.82     99.99     92.46 
  4120       85.83     1.024739  0.901553  266.200030        94.00     88.25     75.51     85.54 
  4121       87.23     0.657589  0.866990  280.218383        93.33     87.82     75.50     92.28 
  4122       92.89     0.795208  0.875900  269.042969        93.63     87.96     99.98     90.00 
  4123       86.96     0.781903  0.874442  261.998437        93.61     87.96     75.51     90.75 
  4124       85.76     0.902441  0.869451  264.979723        93.96     88.11     75.50     85.48 
  4125       87.14     0.553263  0.860235  271.727534        93.03     87.67     75.50     92.35 
  4126       92.62     0.910972  0.890402  272.809324        93.81     88.11    100.00     88.54 
  4127       91.14     1.013622  0.876558  277.079646        94.21     88.25    100.00     82.09 
  4128       85.02     1.045108  0.875648  279.800339        94.30     88.33     75.51     81.96 
  4129       93.30     0.640856  0.887688  279.923402        93.10     87.75    100.00     92.35 
  4130       87.21     0.773971  0.889572  273.164003        93.48     87.89     75.50     91.98 
  4131       87.10     0.584760  0.885427  285.927188        92.99     87.67     75.49     92.23 
  4132       93.25     0.602253  0.885785  279.646899        93.03     87.67     99.99     92.33 
  4133       93.27     0.614192  0.888187  279.461548        93.04     87.67    100.00     92.38 
  4134       87.13     0.607658  0.888777  280.260103        93.03     87.67     75.51     92.29 
  4135       87.20     0.629633  0.887146  279.957344        93.08     87.75     75.51     92.46 
  4136       87.17     0.639274  0.888257  279.567380        93.10     87.75     75.51     92.32 
  4137       87.16     0.578080  0.890209  278.480127        92.95     87.67     75.50     92.52 
  4138       93.24     0.599762  0.888226  279.833540        93.01     87.67     99.98     92.28 
  4139       93.29     0.618770  0.889815  279.308462        93.04     87.75    100.00     92.38 
  4140       87.22     0.656630  0.888046  277.890045        93.22     87.75     75.50     92.41 
  4141       87.18     0.626949  0.891099  280.509494        93.05     87.75     75.51     92.41 
  4142       93.28     0.618770  0.889815  279.308462        93.04     87.75     99.98     92.36 
  4143       87.16     0.766758  0.974841  216.384416        93.13     87.82     75.51     92.16 
  4144       85.73     2.222991  0.991778  192.992787        92.80     92.55     75.50     82.07 
  4145       88.27     0.842041  0.940543  188.205314        93.88     91.31     75.50     92.38 
  4146       81.74     2.522136  0.895312  246.714115        79.23     90.15     75.50     82.10 
  4147       87.23     0.812278  0.959602  223.778288        93.03     87.89     75.50     92.48 
  4148       90.45     1.798653  0.899645  204.045823        90.50     89.20    100.00     82.10 
  4149       91.71     1.748579  0.935570  135.639982        92.58     92.18     99.99     82.10 
  4150       82.71     3.628232  0.913591  208.106491        59.63     89.27     99.99     81.96 
  4151       81.15     5.455459  0.972805  234.909406        56.34     86.15    100.00     82.11 
  4152       74.37     5.674347  0.851598  294.641703        56.34     83.53     75.51     82.12 
  4153       80.54     5.810802  0.880632  241.108348        56.34     83.75     99.98     82.09 
  4154       80.03     7.209830  0.935166  209.907927        56.34     81.85     99.98     81.94 
  4155       79.62     8.690776  0.985874  238.781290        56.34     80.04    100.00     82.10 
  4156       79.64     8.636071  0.982018  228.600880        56.34     80.11    100.00     82.10 
  4157       75.13     6.995201  0.973937  178.115672        56.34     86.58     75.51     82.09 
  4158       74.33     5.770086  0.864058  203.518195        56.34     83.53     75.50     81.96 
  4159       75.35     6.101035  0.937087  116.387611        56.34     87.45     75.51     82.10 
  4160       75.69     5.127009  0.910308  145.066497        56.34     88.84     75.49     82.08 
  4161       82.36     3.761567  0.879930  186.739880        56.34     91.02    100.00     82.10 
  4162       75.94     4.048270  0.834696  172.755378        56.34     89.93     75.51     81.96 
  4163       81.71     4.883631  0.843435  159.598520        56.34     88.40    100.00     82.10 
  4164       75.10     6.166624  0.887083  109.287846        56.34     86.58     75.51     81.97 
  4165       74.95     6.291881  0.856760  149.608761        56.34     85.85     75.50     82.09 
  4166       82.16     3.982633  0.849839  161.370173        56.34     90.22    100.00     82.09 
  4167       76.55     2.682270  0.775250  197.877159        56.34     92.25     75.51     82.11 
  4168       81.64     5.521959  0.912884  132.104290        56.34     88.11    100.00     82.12 
  4169       76.60     4.772557  0.855645  77.585603        56.34     92.47     75.50     82.08 
  4170       81.29     6.931360  0.980018  136.058282        56.34     86.73     99.98     82.11 
  4171       76.55     4.748933  0.963207  151.017698        58.52     90.07     75.51     82.08 
  4172       76.35     3.480649  0.870929  174.100950        56.34     91.45     75.51     82.09 
  4173       81.92     4.908824  0.915134  144.129551        56.34     89.27    100.00     82.07 
  4174       81.52     5.652060  0.908238  112.743858        56.34     87.82    100.00     81.91 
  4175       81.31     6.669701  0.954843  79.432374        56.34     86.80     99.99     82.10 
  4176       75.42     6.161081  0.962627  114.297262        56.34     87.75     75.50     82.09 
  4177       74.69     7.585629  0.926248  159.286968        56.34     84.84     75.50     82.09 
  4178       80.89     7.648740  0.952402  142.915068        56.34     85.13     99.99     82.11 
  4179       75.08     7.209759  0.982164  98.300508        56.34     86.36     75.51     82.10 
  4180       74.65     7.483237  0.912255  115.485049        56.34     84.69     75.51     82.07 
  4181       74.78     8.016443  0.989155  143.979054        56.34     85.20     75.51     82.09 
  4182       75.08     6.282457  0.884740  156.700402        56.34     86.36     75.51     82.11 
  4183       81.09     6.593755  0.893253  148.576064        56.34     85.93     99.99     82.10 
  4184       75.13     5.937077  0.868745  164.477875        56.34     86.73     75.51     81.95 
  4185       74.79     7.141724  0.905888  175.467376        56.34     85.20     75.50     82.10 
  4186       74.79     7.082020  0.899970  163.333399        56.34     85.20     75.51     82.12 
  4187       75.25     6.455006  0.962066  175.638081        56.34     87.24     75.49     81.94 
  4188       75.26     6.055557  0.904111  163.447752        56.34     87.09     75.51     82.11 
  4189       74.86     6.244305  0.830065  188.097736        56.34     85.49     75.51     82.12 
  4190       80.00     5.928990  0.793122  216.401529        56.34     81.56     99.99     82.11 
  4191       79.60     5.916019  0.728439  182.402531        56.34     79.96    100.00     82.09 
  4192       79.00     7.113815  0.758794  237.915213        56.34     77.56     99.99     82.10 
  4193       77.40     7.808506  0.764238  234.705922        56.34     71.16    100.00     82.08 
  4194       71.24     8.419349  0.764342  241.993654        56.34     71.02     75.50     82.10 
  4195       79.22     7.366381  0.811252  240.973723        56.34     78.44     99.99     82.10 
  4196       78.94     7.782164  0.808320  267.967580        56.34     77.35    100.00     82.09 
  4197       71.44     8.293371  0.817781  251.795413        56.34     71.82     75.51     82.09 
  4198       72.86     8.387184  0.861252  293.437472        56.34     77.49     75.51     82.11 
  4199       79.01     7.891197  0.827343  278.488374        56.34     77.64     99.99     82.08 
  4200       79.53     7.284188  0.856045  246.758122        56.34     79.82     99.99     81.96 
  4201       74.09     6.667329  0.910257  248.400857        56.34     82.44     75.50     82.07 
  4202       73.60     6.912164  0.847472  224.430342        56.34     80.47     75.50     82.09 
  4203       73.01     7.864189  0.840101  243.733663        56.34     78.07     75.51     82.11 
  4204       73.64     6.794692  0.840686  266.134159        56.34     80.62     75.49     82.10 
  4205       73.71     7.122805  0.885582  253.018774        56.34     80.91     75.49     82.11 
  4206       73.54     7.244396  0.874503  252.917275        56.34     80.40     75.51     81.91 
  4207       73.46     7.072527  0.839501  230.227499        56.34     79.89     75.51     82.09 
  4208       79.80     7.166376  0.885099  240.622433        56.34     80.76     99.99     82.10 
  4209       80.13     6.861027  0.913917  234.513251        56.34     82.07    100.00     82.11 
  4210       74.13     6.622212  0.913550  211.681319        56.34     82.58     75.50     82.11 
  4211       74.22     6.381786  0.903813  216.801254        56.34     82.95     75.50     82.09 
  4212       74.17     6.500225  0.905071  222.152061        56.34     82.73     75.51     82.10 
  4213       80.29     6.408625  0.895470  223.963835        56.34     82.73    100.00     82.10 
  4214       74.30     6.370694  0.916220  226.811741        56.34     83.24     75.50     82.10 
  4215       80.20     6.774410  0.917634  239.960339        56.34     82.36     99.99     82.09 
  4216       80.30     6.755041  0.937314  244.310864        56.34     82.80     99.98     82.09 
  4217       80.49     6.389844  0.936371  233.000053        56.34     83.53     99.98     82.10 
  4218       74.29     6.790944  0.961833  247.538822        56.34     83.24     75.50     82.10 
  4219       80.54     6.334847  0.941638  221.819279        56.34     83.75     99.99     82.09 
  4220       80.82     6.062930  0.968380  209.820467        56.34     84.84    100.00     82.10 
  4221       80.66     6.538340  0.994079  204.362736        56.34     84.33     99.99     81.97 
  4222       80.52     6.595530  0.974436  219.814927        56.34     83.82     99.99     81.95 
  4223       80.46     6.690663  0.959494  225.668930        56.34     83.38    100.00     82.10 
  4224       74.24     6.900131  0.963901  231.230009        56.34     83.02     75.50     82.10 
  4225       80.38     6.801435  0.957913  228.690199        56.34     83.09     99.99     82.12 
  4226       74.24     6.920729  0.964483  237.397892        56.34     83.02     75.51     82.10 
  4227       74.35     6.591064  0.961374  225.655946        56.34     83.60     75.50     81.96 
  4228       80.44     6.580109  0.944200  229.109339        56.34     83.31    100.00     82.10 
  4229       80.43     6.418037  0.928474  232.821211        56.34     83.31     99.98     82.09 
  4230       80.32     6.605766  0.923749  240.859037        56.34     82.87     99.98     82.10 
  4231       80.27     6.584414  0.913167  246.980948        56.34     82.65    100.00     82.09 
  4232       80.26     6.633414  0.913300  245.777980        56.34     82.58    100.00     82.11 
  4233       74.17     6.591502  0.915307  245.377322        56.34     82.73     75.51     82.09 
  4234       80.29     6.601836  0.915631  245.582238        56.34     82.73     99.99     82.09 
  4235       74.16     6.600430  0.915739  244.410158        56.34     82.73     75.51     82.07 
  4236       80.29     6.588812  0.914765  245.093371        56.34     82.73     99.99     82.09 
  4237       80.24     6.612813  0.913080  243.765448        56.34     82.65     99.99     81.98 
  4238       80.27     6.601817  0.914721  243.223157        56.34     82.65     99.98     82.10 
  4239       80.27     6.633527  0.916903  242.534746        56.34     82.65     99.99     82.10 
  4240       80.27     6.651170  0.918110  243.908456        56.34     82.65     99.98     82.10 
  4241       74.10     6.655165  0.916634  243.003578        56.34     82.58     75.50     81.97 
  4242       74.15     6.665395  0.919112  243.359784        56.34     82.65     75.51     82.09 
  4243       80.27     6.651170  0.918110  243.908456        56.34     82.65     99.98     82.10 
  4244       75.26     4.597855  0.917264  276.074411        56.34     87.09     75.49     82.10 
  4245       75.62     3.820515  0.887256  292.745060        56.34     88.55     75.49     82.10 
  4246       91.10     2.164499  0.990058  271.312861        92.88     89.42     99.98     82.11 
  4247       81.65     4.158786  0.920425  221.033023        56.34     88.18     99.99     82.08 
  4248       84.19     2.349448  0.949572  235.903198        89.47     89.71     75.51     82.09 
  4249       81.82     3.489300  0.858858  231.335439        56.34     88.98     99.98     81.96 
  4250       81.84     3.401552  0.833620  276.927484        56.34     88.91    100.00     82.11 
  4251       81.31     2.297359  0.837388  212.083455        77.48     90.15     75.51     82.11 
  4252       85.40     2.953726  0.864073  162.058305        67.14     92.40     99.99     82.09 
  4253       75.75     3.926703  0.747564  140.385804        56.34     89.05     75.49     82.10 
  4254       88.37     2.109194  0.827134  159.203728        78.47     92.91     99.99     82.10 
  4255       87.71     1.770001  0.782265  204.059527        79.31     89.56     99.99     81.96 
  4256       90.74     1.316399  0.769296  150.813117        88.76     92.11     99.99     82.09 
  4257       76.55     2.619045  0.763071  195.326718        56.34     92.25     75.51     82.09 
  4258       88.56     1.622556  0.759747  165.282674        79.75     92.55    100.00     81.96 
  4259       82.46     2.555996  0.659035  163.136371        56.34     91.38    100.00     82.10 
  4260       81.85     3.368682  0.645200  140.437805        56.34     88.98     99.99     82.09 
  4261       79.96     1.449669  0.634112  152.874113        69.54     92.69     75.51     82.09 
  4262       82.49     2.025388  0.544016  182.495983        56.34     91.53    100.00     82.10 
  4263       88.49     0.877549  0.508824  170.636095        79.67     92.18     99.99     82.10 
  4264       88.50     1.071967  0.590018  140.555033        79.67     92.25     99.98     82.08 
  4265       77.41     1.660950  0.636650  129.848143        59.02     93.05     75.50     82.07 
  4266       76.31     2.227130  0.577175  155.624507        56.34     91.31     75.49     82.08 
  4267       77.03     1.954695  0.583733  94.589740        56.34     94.51     75.49     81.78 
  4268       83.12     2.448187  0.622370  84.547311        56.34     94.07    100.00     82.08 
  4269       85.39     0.554778  0.516575  154.696013        92.56     91.53     75.51     81.96 
  4270       76.73     1.741364  0.590217  151.302585        56.34     92.98     75.49     82.09 
  4271       79.08     1.117716  0.521627  208.223077        69.15     89.56     75.49     82.10 
  4272       83.30     1.305366  0.528573  177.813080        58.20     92.91     99.99     82.09 
  4273       75.68     2.606708  0.508053  184.433942        56.34     88.91     75.50     81.95 
  4274       76.62     1.668884  0.526485  158.801930        56.34     92.55     75.50     82.10 
  4275       76.64     1.745992  0.557410  190.439060        56.34     92.62     75.51     82.10 
  4276       75.55     2.094976  0.509469  219.605974        56.34     88.25     75.49     82.11 
  4277       75.33     2.370229  0.528207  202.216572        56.34     87.38     75.49     82.10 
  4278       77.50     1.267379  0.533209  167.488153        59.58     92.84     75.50     82.09 
  4279       82.49     1.882950  0.508875  193.204356        56.34     91.53    100.00     82.10 
  4280       77.21     1.503363  0.586715  156.470094        58.28     92.98     75.49     82.07 
  4281       82.53     2.070017  0.577109  152.071043        56.34     91.82    100.00     81.97 
  4282       82.10     2.392847  0.527461  129.117970        56.34     90.00     99.98     82.09 
  4283       82.76     1.682617  0.548182  153.465483        56.34     92.76     99.98     81.97 
  4284       76.41     2.158004  0.588727  138.114391        56.34     91.67     75.51     82.10 
  4285       82.09     2.497960  0.542739  127.031334        56.34     89.93     99.99     82.10 
  4286       81.69     3.183618  0.576377  127.729257        56.34     88.33     99.99     82.09 
  4287       81.42     3.239957  0.534053  104.487714        56.34     87.24    100.00     82.09 
  4288       82.32     2.073996  0.518497  105.421698        56.34     91.02     99.98     81.95 
  4289       76.76     2.205452  0.502182  97.688723        56.34     93.13     75.49     82.07 
  4290       82.85     1.673119  0.570442  127.673134        56.34     92.98    100.00     82.09 
  4291       82.30     1.041044  0.573288  123.604363        79.48     92.25     75.51     81.97 
  4292       91.78     0.705589  0.521372  86.951692        89.43     95.60    100.00     82.09 
  4293       83.55     1.436786  0.538227  78.947510        56.34     95.75     99.99     82.10 
  4294       83.57     1.480303  0.539685  63.116727        56.34     95.89     99.98     82.07 
  4295       86.05     1.066419  0.511718  113.822983        69.70     92.55    100.00     81.96 
  4296       80.15     1.058650  0.522172  100.315834        70.53     92.47     75.49     82.10 
  4297       83.44     1.457744  0.531423  83.952565        56.34     95.45     99.98     81.97 
  4298       77.38     1.523543  0.543305  72.298959        56.34     95.60     75.49     82.10 
  4299       83.08     1.260385  0.503743  104.861900        57.24     92.98    100.00     82.09 
  4300       83.66     0.863428  0.523858  63.204305        80.55     96.47     75.51     82.12 
  4301       83.37     1.528725  0.545895  91.228988        56.34     95.16    100.00     81.97 
  4302       86.54     1.244325  0.542822  64.210126        67.71     96.33    100.00     82.12 
  4303       91.14     0.671762  0.547215  113.312099        90.80     91.67    100.00     82.09 
  4304       85.65     0.550253  0.562432  108.909150        93.63     91.38     75.51     82.08 
  4305       76.98     1.402810  0.547095  106.373190        57.31     92.98     75.50     82.11 
  4306       83.20     0.898964  0.522476  98.838284        79.83     95.53     75.50     81.94 
  4307       79.38     1.241053  0.535606  119.805486        67.30     92.76     75.50     81.94 
  4308       82.85     1.092512  0.554480  89.584764        77.82     95.96     75.51     82.09 
  4309       88.09     1.010887  0.524653  100.744875        77.88     92.40    100.00     82.07 
  4310       82.09     1.157315  0.590029  100.349412        78.35     92.40     75.51     82.09 
  4311       79.58     1.289049  0.561688  106.665440        68.01     92.69     75.51     82.09 
  4312       85.77     1.208411  0.540306  118.552764        68.33     92.69     99.98     82.09 
  4313       86.93     1.083435  0.517412  88.673991        69.66     96.11     99.99     81.94 
  4314       88.39     0.952174  0.530236  100.839117        79.19     92.25     99.99     82.11 
  4315       91.58     0.593846  0.575963  114.928557        92.93     91.45     99.99     81.95 
  4316       90.84     0.771871  0.559533  113.188695        89.47     91.82     99.99     82.09 
  4317       84.21     0.907842  0.580264  130.195323        87.31     92.04     75.51     81.97 
  4318       81.81     1.106564  0.545653  119.590815        77.17     92.47     75.51     82.09 
  4319       81.90     1.145485  0.567109  128.248212        77.51     92.47     75.51     82.09 
  4320       89.45     0.926508  0.544384  99.580783        80.24     95.45    100.00     82.10 
  4321       91.77     0.560315  0.562691  111.704091        93.56     91.45     99.99     82.09 
  4322       83.07     1.056868  0.573371  94.592669        79.23     95.60     75.50     81.96 
  4323       86.08     0.707219  0.585987  97.081814        91.62     95.09     75.51     82.09 
  4324       90.66     0.784469  0.552967  112.898563        88.62     91.89    100.00     82.10 
  4325       90.38     0.840709  0.556090  109.109447        87.49     91.96     99.98     82.10 
  4326       88.80     0.908349  0.559214  107.178174        81.11     92.04     99.99     82.08 
  4327       90.87     0.747204  0.556683  115.733278        89.67     91.75     99.98     82.10 
  4328       82.78     0.866816  0.554435  115.224617        81.64     92.04     75.49     81.96 
  4329       91.52     0.646287  0.570029  106.589494        92.45     91.53     99.99     82.09 
  4330       92.19     0.664784  0.556347  99.137970        91.57     95.09    100.00     82.10 
  4331       91.79     0.784319  0.564036  89.798609        89.43     95.60    100.00     82.11 
  4332       90.44     0.835397  0.563198  102.696991        87.72     91.96    100.00     82.09 
  4333       92.73     0.502269  0.564085  94.751676        93.98     94.87    100.00     82.08 
  4334       86.61     0.521463  0.566269  94.534951        93.87     94.95     75.51     82.10 
  4335       92.72     0.516964  0.561589  94.599267        93.86     94.95    100.00     82.10 
  4336       92.73     0.502014  0.561404  95.652065        93.96     94.87     99.99     82.09 
  4337       92.72     0.517755  0.562462  96.099043        93.86     94.95     99.98     82.10 
  4338       92.72     0.506761  0.562786  95.492067        93.94     94.87     99.99     82.10 
  4339       86.58     0.512794  0.564139  95.740310        93.91     94.95     75.49     81.97 
  4340       92.69     0.538826  0.562911  94.430093        93.71     94.95    100.00     82.10 
  4341       92.72     0.523028  0.563246  94.684126        93.82     94.95    100.00     82.10 
  4342       92.65     0.560781  0.562634  95.096189        93.56     94.95     99.99     82.10 
  4343       92.72     0.506130  0.561072  94.221653        93.93     94.87     99.99     82.08 
  4344       92.72     0.506130  0.561072  94.221653        93.93     94.87     99.99     82.10 
  4345       82.38     2.407424  0.601109  108.833439        56.34     91.09     99.99     82.09 
  4346       92.39     0.706047  0.552404  48.842326        90.56     96.91    100.00     82.09 
  4347       82.36     2.465291  0.611208  120.743543        56.34     91.02    100.00     82.08 
  4348       76.89     2.557167  0.593331  88.043641        56.34     93.64     75.50     82.10 
  4349       83.19     2.229957  0.566586  71.741076        56.34     94.36    100.00     82.07 
  4350       76.46     2.185450  0.613531  130.090156        56.34     91.89     75.50     82.10 
  4351       81.67     4.149655  0.725064  186.679443        56.34     88.25     99.99     82.10 
  4352       73.87     5.667059  0.763232  218.975649        56.34     81.56     75.50     82.09 
  4353       74.75     4.678669  0.803046  217.417930        56.34     85.05     75.51     82.08 
  4354       74.37     5.590933  0.843446  285.455643        56.34     83.53     75.51     82.11 
  4355       81.17     4.673478  0.872121  293.648093        56.34     86.29     99.98     82.08 
  4356       81.26     5.033234  0.944095  229.608362        56.34     86.58    100.00     82.10 
  4357       82.22     3.973964  0.862262  177.746504        56.34     90.44    100.00     82.10 
  4358       81.69     4.134251  0.923296  210.680750        56.63     88.25     99.98     81.90 
  4359       86.24     2.538842  0.848380  148.547535        69.75     93.13     99.98     82.10 
  4360       91.95     1.109401  0.910799  190.354206        94.11     91.60    100.00     82.10 
  4361       94.30     0.628973  0.881938  133.018013        93.77     91.09     99.99     92.35 
  4362       92.17     1.471384  0.851918  84.425371        90.78     95.82     99.99     82.11 
  4363       85.91     1.202201  0.910256  157.360936        94.36     91.67     75.51     82.10 
  4364       85.46     2.206254  0.970171  161.251178        91.68     92.55     75.51     82.10 
  4365       90.80     2.066017  0.907653  172.403312        88.53     92.62     99.98     82.09 
  4366       85.34     1.190674  0.810979  185.411489        91.86     91.89     75.51     82.09 
  4367       88.42     1.899690  0.797518  175.210434        78.81     92.76    100.00     82.10 
  4368       82.66     1.830366  0.817817  167.899085        80.39     92.62     75.51     82.10 
  4369       82.39     2.343525  0.870270  160.587444        79.00     92.98     75.51     82.07 
  4370       91.53     2.021524  0.947008  161.726516        91.52     92.47    100.00     82.10 
  4371       82.07     2.168700  0.881854  213.712398        80.89     89.78     75.51     82.12 
  4372       91.05     2.019499  0.917070  141.050370        89.57     92.55    100.00     82.09 
  4373       87.90     1.811041  0.997670  154.760317        94.32     92.11     75.49     89.70 
  4374       88.15     0.838968  0.981036  109.765149        93.63     91.24     75.50     92.23 
  4375       93.79     1.321544  0.962685  157.654414        94.00     91.67     99.98     89.49 
  4376       94.23     0.517800  0.951734  165.803909        93.69     90.95    100.00     92.27 
  4377       92.91     1.834717  0.988654  165.500990        93.99     92.18     99.99     85.48 
  4378       84.94     2.153710  0.931586  191.763447        89.53     92.62     75.51     82.11 
  4379       91.30     2.251242  0.953227  157.682317        90.47     92.62     99.99     82.10 
  4380       86.20     3.150526  0.915090  132.852116        70.26     92.47     99.99     82.07 
  4381       90.76     1.887329  0.881150  185.658081        88.49     92.47     99.98     82.09 
  4382       82.61     2.874919  0.803083  165.195279        56.34     92.04     99.99     82.07 
  4383       82.79     2.885738  0.822701  128.219481        56.80     92.25    100.00     82.10 
  4384       76.92     3.408063  0.886983  117.659922        58.32     91.75     75.49     82.11 
  4385       86.07     2.619796  0.825240  87.884535        67.09     95.09    100.00     82.10 
  4386       80.19     2.446236  0.841028  101.544034        70.10     93.20     75.51     81.96 
  4387       76.06     3.732810  0.811004  116.523074        56.34     90.29     75.50     82.10 
  4388       82.73     2.619776  0.783132  125.028177        56.34     92.47     99.98     82.12 
  4389       82.40     2.448090  0.882273  102.110661        78.95     93.05     75.51     82.09 
  4390       77.17     2.905863  0.788478  74.548560        56.34     94.73     75.49     82.10 
  4391       86.15     2.155230  0.790484  123.720846        69.58     93.05    100.00     81.97 
  4392       76.62     2.503805  0.762462  160.291645        56.34     92.55     75.51     82.09 
  4393       84.62     1.372172  0.785814  160.028066        88.78     92.11     75.50     82.07 
  4394       90.50     1.797716  0.850292  120.941050        87.44     92.47     99.98     82.10 
  4395       86.26     2.456605  0.838140  105.796599        69.77     93.20     99.98     82.10 
  4396       82.34     1.948621  0.809977  106.020152        78.99     92.76     75.49     82.11 
  4397       91.68     1.406804  0.894942  135.842903        92.87     91.96     99.99     81.91 
